"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2019","52.91","54.52","54.56","52.80","43.73M","-3.45%"
"Mar 21, 2019","54.80","54.52","55.29","53.69","29.74M","0.15%"
"Mar 20, 2019","54.72","53.94","54.99","53.26","34.54M","2.30%"
"Mar 19, 2019","53.49","53.50","54.66","52.69","59.00M","-0.76%"
"Mar 18, 2019","53.90","55.20","55.61","53.46","51.40M","-2.16%"
"Mar 15, 2019","55.09","56.70","56.74","54.88","73.93M","-5.00%"
"Mar 14, 2019","57.99","58.49","59.08","57.66","35.52M","0.35%"
"Mar 13, 2019","57.79","56.78","58.40","56.54","34.22M","1.98%"
"Mar 12, 2019","56.67","57.30","57.61","56.21","37.52M","-2.60%"
"Mar 11, 2019","58.18","56.70","58.26","56.10","36.96M","2.38%"
"Mar 08, 2019","56.83","55.38","57.12","55.18","44.10M","2.73%"
"Mar 07, 2019","55.32","55.77","56.94","54.85","47.21M","0.13%"
"Mar 06, 2019","55.25","55.30","56.30","54.88","51.68M","-0.11%"
"Mar 05, 2019","55.31","56.40","56.80","54.02","93.82M","-3.08%"
"Mar 04, 2019","57.07","59.62","59.80","56.56","85.48M","-3.21%"
"Mar 01, 2019","58.96","61.39","61.43","58.38","114.56M","-7.85%"
"Feb 28, 2019","63.98","63.78","64.00","62.16","52.60M","1.64%"
"Feb 27, 2019","62.95","60.36","63.26","60.11","55.92M","5.67%"
"Feb 26, 2019","59.57","58.44","60.40","57.75","42.91M","-0.30%"
"Feb 25, 2019","59.75","59.58","60.58","59.40","33.13M","1.37%"
"Feb 22, 2019","58.94","58.90","59.30","58.42","28.70M","1.18%"
"Feb 21, 2019","58.25","60.36","60.65","58.10","44.55M","-3.73%"
"Feb 20, 2019","60.51","60.88","61.26","59.80","35.71M","-1.01%"
"Feb 19, 2019","61.13","61.31","62.31","61.09","20.84M","-0.73%"
"Feb 15, 2019","61.58","60.90","61.60","60.78","19.52M","1.37%"
"Feb 14, 2019","60.75","60.68","61.35","60.20","26.00M","-1.43%"
