"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2016","4,334.75","4,352.50","4,381.75","4,305.75","262.05K","-0.38%"
"May 11, 2016","4,351.50","4,394.25","4,403.00","4,350.75","207.22K","-0.92%"
"May 10, 2016","4,392.00","4,334.75","4,398.75","4,323.75","202.30K","1.30%"
"May 09, 2016","4,335.75","4,329.75","4,356.50","4,318.00","204.96K","0.17%"
"May 06, 2016","4,328.25","4,299.25","4,333.75","4,271.00","257.89K","0.65%"
"May 05, 2016","4,300.25","4,308.25","4,342.50","4,292.50","221.67K","-0.22%"
"May 04, 2016","4,309.75","4,335.50","4,342.00","4,292.25","230.35K","-0.57%"
"May 03, 2016","4,334.50","4,372.00","4,374.50","4,319.50","264.17K","-0.79%"
"May 02, 2016","4,369.00","4,337.00","4,378.50","4,318.00","218.45K","0.87%"
"Apr 29, 2016","4,331.50","4,383.50","4,391.25","4,296.75","383.21K","-1.15%"
"Apr 28, 2016","4,382.00","4,432.00","4,442.25","4,346.25","306.77K","-0.94%"
"Apr 27, 2016","4,423.75","4,405.00","4,433.75","4,372.25","303.55K","-0.65%"
"Apr 26, 2016","4,452.50","4,472.25","4,489.75","4,407.00","210.95K","-0.44%"
"Apr 25, 2016","4,472.25","4,477.00","4,479.75","4,436.00","172.47K","0.15%"
"Apr 22, 2016","4,465.75","4,488.25","4,501.75","4,431.00","276.83K","-0.71%"
"Apr 21, 2016","4,497.75","4,533.25","4,551.75","4,488.00","239.65K","-0.84%"
"Apr 20, 2016","4,535.75","4,528.25","4,556.00","4,509.00","192.77K","0.20%"
"Apr 19, 2016","4,526.75","4,545.50","4,584.50","4,506.75","247.34K","-0.43%"
"Apr 18, 2016","4,546.50","4,518.75","4,561.25","4,501.00","179.87K","0.18%"
"Apr 15, 2016","4,538.50","4,548.75","4,554.50","4,523.00","171.81K","-0.17%"
"Apr 14, 2016","4,546.25","4,546.50","4,563.25","4,530.50","163.85K","-0.03%"
"Apr 13, 2016","4,547.75","4,489.00","4,553.75","4,486.75","226.05K","1.29%"
"Apr 12, 2016","4,490.00","4,447.00","4,497.50","4,426.50","249.25K","0.86%"
"Apr 11, 2016","4,451.50","4,470.00","4,509.75","4,446.00","242.69K","-0.35%"
"Apr 08, 2016","4,467.25","4,467.50","4,509.75","4,451.50","232.57K","-0.07%"
"Apr 07, 2016","4,470.25","4,533.50","4,539.50","4,450.75","260.82K","-1.43%"
"Apr 06, 2016","4,535.00","4,476.00","4,537.75","4,467.25","239.59K","1.47%"
"Apr 05, 2016","4,469.50","4,499.75","4,501.50","4,456.50","218.34K","-0.68%"
"Apr 04, 2016","4,500.25","4,526.75","4,543.75","4,495.25","186.75K","-0.62%"
"Apr 01, 2016","4,528.50","4,477.75","4,529.50","4,441.50","245.30K","1.17%"
"Mar 31, 2016","4,476.25","4,480.25","4,495.50","4,462.25","190.53K","-0.13%"
"Mar 30, 2016","4,482.00","4,460.75","4,510.25","4,456.50","222.49K","0.53%"
"Mar 29, 2016","4,458.25","4,389.75","4,463.50","4,374.00","224.46K","1.57%"
"Mar 28, 2016","4,389.50","4,401.50","4,425.75","4,381.50","133.72K","-0.18%"
"Mar 24, 2016","4,397.25","4,395.00","4,401.00","4,365.00","192.09K","0.04%"
"Mar 23, 2016","4,395.50","4,434.75","4,441.25","4,383.25","211.43K","-0.88%"
"Mar 22, 2016","4,434.50","4,416.00","4,440.50","4,383.75","189.22K","0.41%"
"Mar 21, 2016","4,416.25","4,394.75","4,421.25","4,376.75","169.66K","-0.22%"
"Mar 18, 2016","4,425.81","4,404.75","4,418.25","4,394.00","5.16K","0.54%"
"Mar 17, 2016","4,402.25","4,396.75","4,422.00","4,369.00","51.82K","0.11%"
"Mar 16, 2016","4,397.50","4,366.25","4,416.50","4,349.00","65.62K","0.76%"
"Mar 15, 2016","4,364.50","4,364.75","4,372.00","4,338.00","71.63K","-0.03%"
"Mar 14, 2016","4,366.00","4,352.75","4,378.25","4,340.50","106.67K","0.30%"
"Mar 11, 2016","4,352.75","4,287.25","4,361.25","4,282.50","156.65K","1.58%"
"Mar 10, 2016","4,285.00","4,295.25","4,347.50","4,229.75","392.23K","-0.22%"
"Mar 09, 2016","4,294.50","4,271.00","4,299.00","4,256.75","238.22K","0.56%"
"Mar 08, 2016","4,270.50","4,301.00","4,308.75","4,251.50","293.55K","-0.69%"
"Mar 07, 2016","4,300.00","4,321.00","4,330.00","4,268.75","246.82K","-0.52%"
"Mar 04, 2016","4,322.50","4,323.00","4,355.00","4,298.00","289.08K","0.05%"
"Mar 03, 2016","4,320.25","4,326.75","4,344.50","4,293.50","202.26K","-0.21%"
"Mar 02, 2016","4,329.25","4,334.50","4,357.75","4,299.25","265.75K","-0.20%"
"Mar 01, 2016","4,337.75","4,199.25","4,338.75","4,180.25","295.76K","3.25%"
"Feb 29, 2016","4,201.25","4,225.25","4,263.25","4,184.50","250.32K","-0.68%"
"Feb 26, 2016","4,230.00","4,243.00","4,293.25","4,225.00","272.80K","-0.34%"
"Feb 25, 2016","4,244.25","4,214.50","4,247.75","4,170.25","265.55K","0.85%"
"Feb 24, 2016","4,208.50","4,156.50","4,218.50","4,084.75","336.25K","1.18%"
"Feb 23, 2016","4,159.25","4,207.25","4,216.50","4,154.50","227.81K","-1.32%"
"Feb 22, 2016","4,214.75","4,155.25","4,234.00","4,146.50","189.98K","1.29%"
"Feb 19, 2016","4,161.00","4,156.25","4,175.00","4,120.25","229.02K","0.14%"
"Feb 18, 2016","4,155.00","4,208.25","4,227.50","4,144.00","254.58K","-0.99%"
"Feb 17, 2016","4,196.75","4,089.75","4,211.50","4,068.25","291.65K","2.54%"
